kind,n,epsilon,value,bound
lemma56_interval,5,0.0,0.39999999999999947,0.6
lemma56_interval,5,0.0,0.6999999999999997,0.30000000000000004
lemma56_interval,5,0.3,0.19999999999999996,0.8
lemma56_interval,5,0.3,0.39999999999999936,0.6
lemma56_interval,5,0.3,0.7000000000000002,0.30000000000000004
lemma56_interval,5,1.0,0.20000000000000007,0.8
lemma56_interval,5,1.0,0.4,0.6
lemma56_interval,5,1.0,0.7000000000000002,0.30000000000000004
lemma56_interval,5,2.0,0.19999999999999996,0.8
lemma56_interval,5,2.0,0.3999999999999999,0.6
lemma56_interval,5,2.0,0.7,0.30000000000000004
lemma58_yao,5,0.0,21,32
lemma59_samples,5,0.0,43,430
lemma56_interval,6,0.0,0.20000000000000173,0.8
lemma56_interval,6,0.0,0.40000000000000036,0.6
lemma56_interval,6,0.0,0.7,0.30000000000000004
lemma56_interval,6,0.3,0.20000000000000007,0.8
lemma56_interval,6,0.3,0.4000000000000006,0.6
lemma56_interval,6,0.3,0.7000000000000002,0.30000000000000004
lemma56_interval,6,1.0,0.19999999999999996,0.8
lemma56_interval,6,1.0,0.4,0.6
lemma56_interval,6,1.0,0.7000000000000008,0.30000000000000004
lemma56_interval,6,2.0,0.19999999999999984,0.8
lemma56_interval,6,2.0,0.3999999999999999,0.6
lemma56_interval,6,2.0,0.7,0.30000000000000004
lemma58_yao,6,0.0,42,64
lemma59_samples,6,0.0,45,540
lemma56_interval,7,0.0,0.19999999999999707,0.8
lemma56_interval,7,0.0,0.4000000000000017,0.6
lemma56_interval,7,0.0,0.7000000000000006,0.30000000000000004
lemma56_interval,7,0.3,0.2000000000000004,0.8
lemma56_interval,7,0.3,0.4000000000000029,0.6
lemma56_interval,7,0.3,0.7000000000000004,0.30000000000000004
lemma56_interval,7,1.0,0.19999999999999996,0.8
lemma56_interval,7,1.0,0.40000000000000013,0.6
lemma56_interval,7,1.0,0.6999999999999994,0.30000000000000004
lemma56_interval,7,2.0,0.19999999999999984,0.8
lemma56_interval,7,2.0,0.3999999999999999,0.6
lemma56_interval,7,2.0,0.7,0.30000000000000004
lemma58_yao,7,0.0,85,128
lemma59_samples,7,0.0,47,658
