length,epsilon,gamma,alpha,target,optimal_credit_lp,claimed_gamma,worst_case_queries,two_to_length,theorem55_reduction_factor
2,2.0,0.7,0.175,01,0.7,0.7,4,4,0.07709120520881058
2,2.0,0.7,0.175,10,0.7,0.7,4,4,0.07709120520881058
2,2.0,0.7,0.175,11,0.7,0.7,4,4,0.07709120520881058
3,0.0,0.2,0.05,000,0.19999999999999962,0.2,8,8,0.0074414750206832974
3,0.0,0.2,0.05,001,0.1999999999999995,0.2,8,8,0.0074414750206832974
3,0.0,0.2,0.05,010,0.1999999999999995,0.2,8,8,0.0074414750206832974
3,0.0,0.2,0.05,011,0.1999999999999995,0.2,8,8,0.0074414750206832974
3,0.0,0.2,0.05,100,0.1999999999999995,0.2,8,8,0.0074414750206832974
3,0.0,0.2,0.05,101,0.1999999999999995,0.2,8,8,0.0074414750206832974
3,0.0,0.2,0.05,110,0.1999999999999995,0.2,8,8,0.0074414750206832974
3,0.0,0.2,0.05,111,0.1999999999999995,0.2,8,8,0.0074414750206832974
3,0.0,0.4,0.1,000,0.4,0.4,8,8,0.02976590008273319
3,0.0,0.4,0.1,001,0.3999999999999998,0.4,8,8,0.02976590008273319
3,0.0,0.4,0.1,010,0.3999999999999998,0.4,8,8,0.02976590008273319
3,0.0,0.4,0.1,011,0.3999999999999998,0.4,8,8,0.02976590008273319
3,0.0,0.4,0.1,100,0.3999999999999998,0.4,8,8,0.02976590008273319
3,0.0,0.4,0.1,101,0.3999999999999998,0.4,8,8,0.02976590008273319
3,0.0,0.4,0.1,110,0.3999999999999998,0.4,8,8,0.02976590008273319
3,0.0,0.4,0.1,111,0.3999999999999998,0.4,8,8,0.02976590008273319
3,0.0,0.7,0.175,000,0.6999999999999998,0.7,8,8,0.09115806900337037
3,0.0,0.7,0.175,001,0.6999999999999997,0.7,8,8,0.09115806900337037
3,0.0,0.7,0.175,010,0.6999999999999997,0.7,8,8,0.09115806900337037
3,0.0,0.7,0.175,011,0.6999999999999997,0.7,8,8,0.09115806900337037
3,0.0,0.7,0.175,100,0.6999999999999997,0.7,8,8,0.09115806900337037
3,0.0,0.7,0.175,101,0.6999999999999997,0.7,8,8,0.09115806900337037
3,0.0,0.7,0.175,110,0.6999999999999997,0.7,8,8,0.09115806900337037
3,0.0,0.7,0.175,111,0.6999999999999997,0.7,8,8,0.09115806900337037
3,0.3,0.2,0.05,000,0.19999999999999984,0.2,8,8,0.0074414750206832974
3,0.3,0.2,0.05,001,0.19999999999999996,0.2,8,8,0.0074414750206832974
3,0.3,0.2,0.05,010,0.19999999999999973,0.2,8,8,0.0074414750206832974
3,0.3,0.2,0.05,011,0.19999999999999973,0.2,8,8,0.0074414750206832974
3,0.3,0.2,0.05,100,0.19999999999999973,0.2,8,8,0.0074414750206832974
3,0.3,0.2,0.05,101,0.19999999999999996,0.2,8,8,0.0074414750206832974
3,0.3,0.2,0.05,110,0.19999999999999984,0.2,8,8,0.0074414750206832974
3,0.3,0.2,0.05,111,0.19999999999999984,0.2,8,8,0.0074414750206832974
3,0.3,0.4,0.1,000,0.3999999999999998,0.4,8,8,0.02976590008273319
3,0.3,0.4,0.1,001,0.3999999999999998,0.4,8,8,0.02976590008273319
3,0.3,0.4,0.1,010,0.3999999999999998,0.4,8,8,0.02976590008273319
3,0.3,0.4,0.1,011,0.3999999999999998,0.4,8,8,0.02976590008273319
3,0.3,0.4,0.1,100,0.3999999999999998,0.4,8,8,0.02976590008273319
3,0.3,0.4,0.1,101,0.3999999999999998,0.4,8,8,0.02976590008273319
3,0.3,0.4,0.1,110,0.3999999999999998,0.4,8,8,0.02976590008273319
3,0.3,0.4,0.1,111,0.3999999999999999,0.4,8,8,0.02976590008273319
3,0.3,0.7,0.175,000,0.7,0.7,8,8,0.09115806900337037
3,0.3,0.7,0.175,001,0.7,0.7,8,8,0.09115806900337037
3,0.3,0.7,0.175,010,0.6999999999999998,0.7,8,8,0.09115806900337037
3,0.3,0.7,0.175,011,0.6999999999999998,0.7,8,8,0.09115806900337037
3,0.3,0.7,0.175,100,0.6999999999999998,0.7,8,8,0.09115806900337037
3,0.3,0.7,0.175,101,0.6999999999999998,0.7,8,8,0.09115806900337037
3,0.3,0.7,0.175,110,0.7,0.7,8,8,0.09115806900337037
3,0.3,0.7,0.175,111,0.7,0.7,8,8,0.09115806900337037
3,1.0,0.2,0.05,000,0.20000000000000007,0.2,8,8,0.0074414750206832974
3,1.0,0.2,0.05,001,0.20000000000000007,0.2,8,8,0.0074414750206832974
3,1.0,0.2,0.05,010,0.20000000000000007,0.2,8,8,0.0074414750206832974
3,1.0,0.2,0.05,011,0.20000000000000007,0.2,8,8,0.0074414750206832974
3,1.0,0.2,0.05,100,0.20000000000000007,0.2,8,8,0.0074414750206832974
3,1.0,0.2,0.05,101,0.19999999999999996,0.2,8,8,0.0074414750206832974
3,1.0,0.2,0.05,110,0.19999999999999996,0.2,8,8,0.0074414750206832974
3,1.0,0.2,0.05,111,0.20000000000000007,0.2,8,8,0.0074414750206832974
3,1.0,0.4,0.1,000,0.4,0.4,8,8,0.02976590008273319
3,1.0,0.4,0.1,001,0.4,0.4,8,8,0.02976590008273319
3,1.0,0.4,0.1,010,0.4,0.4,8,8,0.02976590008273319
3,1.0,0.4,0.1,011,0.4,0.4,8,8,0.02976590008273319
3,1.0,0.4,0.1,100,0.4,0.4,8,8,0.02976590008273319
3,1.0,0.4,0.1,101,0.4,0.4,8,8,0.02976590008273319
3,1.0,0.4,0.1,110,0.4,0.4,8,8,0.02976590008273319
3,1.0,0.4,0.1,111,0.4,0.4,8,8,0.02976590008273319
3,1.0,0.7,0.175,000,0.7,0.7,8,8,0.09115806900337037
3,1.0,0.7,0.175,001,0.7,0.7,8,8,0.09115806900337037
3,1.0,0.7,0.175,010,0.7,0.7,8,8,0.09115806900337037
3,1.0,0.7,0.175,011,0.7,0.7,8,8,0.09115806900337037
3,1.0,0.7,0.175,100,0.7,0.7,8,8,0.09115806900337037
3,1.0,0.7,0.175,101,0.7,0.7,8,8,0.09115806900337037
3,1.0,0.7,0.175,110,0.7,0.7,8,8,0.09115806900337037
3,1.0,0.7,0.175,111,0.7,0.7,8,8,0.09115806900337037
3,2.0,0.2,0.05,000,0.19999999999999984,0.2,8,8,0.0074414750206832974
3,2.0,0.2,0.05,001,0.19999999999999984,0.2,8,8,0.0074414750206832974
3,2.0,0.2,0.05,010,0.19999999999999984,0.2,8,8,0.0074414750206832974
3,2.0,0.2,0.05,011,0.19999999999999984,0.2,8,8,0.0074414750206832974
3,2.0,0.2,0.05,100,0.19999999999999984,0.2,8,8,0.0074414750206832974
3,2.0,0.2,0.05,101,0.19999999999999984,0.2,8,8,0.0074414750206832974
3,2.0,0.2,0.05,110,0.19999999999999984,0.2,8,8,0.0074414750206832974
3,2.0,0.2,0.05,111,0.19999999999999984,0.2,8,8,0.0074414750206832974
3,2.0,0.4,0.1,000,0.3999999999999999,0.4,8,8,0.02976590008273319
3,2.0,0.4,0.1,001,0.3999999999999999,0.4,8,8,0.02976590008273319
3,2.0,0.4,0.1,010,0.3999999999999999,0.4,8,8,0.02976590008273319
3,2.0,0.4,0.1,011,0.3999999999999999,0.4,8,8,0.02976590008273319
3,2.0,0.4,0.1,100,0.4,0.4,8,8,0.02976590008273319
3,2.0,0.4,0.1,101,0.3999999999999999,0.4,8,8,0.02976590008273319
3,2.0,0.4,0.1,110,0.3999999999999999,0.4,8,8,0.02976590008273319
3,2.0,0.4,0.1,111,0.4,0.4,8,8,0.02976590008273319
3,2.0,0.7,0.175,000,0.7,0.7,8,8,0.09115806900337037
3,2.0,0.7,0.175,001,0.7,0.7,8,8,0.09115806900337037
3,2.0,0.7,0.175,010,0.7,0.7,8,8,0.09115806900337037
3,2.0,0.7,0.175,011,0.7,0.7,8,8,0.09115806900337037
3,2.0,0.7,0.175,100,0.7,0.7,8,8,0.09115806900337037
3,2.0,0.7,0.175,101,0.7,0.7,8,8,0.09115806900337037
3,2.0,0.7,0.175,110,0.7,0.7,8,8,0.09115806900337037
3,2.0,0.7,0.175,111,0.7,0.7,8,8,0.09115806900337037
4,0.0,0.2,0.05,0000,0.1999999999999995,0.2,16,16,0.010332710672293152
4,0.0,0.2,0.05,0001,0.19999999999999962,0.2,16,16,0.010332710672293152
